Materials,01 EN15804+A2 (EF 3.1) Klimawandel - total [kg CO2 Äquiv.],"02 EN15804+A2 (EF 3.1) Klimawandel, fossil [kg CO2 Äquiv.]",03 EN15804+A2 (EF 3.1) Klimawandel - biogen [kg CO2 Äquiv.],"04 EN15804+A2 (EF 3.1) Klimawandel, Landnutzung und Landnutzungsänderung [kg CO2 Äquiv.]",05 EN15804+A2 (EF 3.1) Ozonabbau [kg CFC-11 Äquiv.],06 EN15804+A2 (EF 3.1) Versauerung [Mole of H+ Äquiv.],"07 EN15804+A2 (EF 3.1) Eutrophierung, Frischwasser [kg P Äquiv.]","08 EN15804+A2 (EF 3.1) Eutrophierung, marine Ökosysteme [kg N Äquiv.]","09 EN15804+A2 (EF 3.1) Eutrophierung, terrestrische Ökosysteme [Mol von N-Äquiv.]","10 EN15804+A2 (EF 3.1) Fotochemisches Ozonbildungspotenzial, menschl. Gesundheit [kg NMVOC Äquiv.]","11 EN15804+A2 (EF 3.1) Ressourcenverbrauch, Mineralien und Metalle [kg Sb Äquiv.]","12 EN15804+A2 (EF 3.1) Ressourcenverbrauch, fossil [MJ]",13 EN15804+A2 (EF 3.1) Wassernutzung [m³ Weltäquiv.],01 EN15804+A2 Verbrauch von erneuerbarer Primärenergie (PERE) [MJ],02 EN15804+A2 Primärenergie zur stofflichen Nutzung (PERM) [MJ],03 EN15804+A2 Gesamtverbrauch von erneuerbarer Primärenergie (PERT) [MJ],04 EN15804+A2 Verbrauch von nicht-erneuerbarer Primärenergie (PENRE) [MJ],05 EN15804+A2 Nicht-erneuerbare Primärenergie zur stofflichen Nutzung (PENRM) [MJ],06 EN15804+A2 Gesamtverbrauch von nicht-erneuerbarer Primärenergie (PENRT) [MJ],07 EN15804+A2 Input von Sekundärwerkstoffen (SM) [kg],08 EN15804+A2 Verbrauch ern. Sekundärbrennstoffe (RSF) [MJ],09 EN15804+A2 Verbrauch nicht ern. Sekundärbrennstoffe (NRSF) [MJ],10 EN15804+A2 Frischwasserverbrauch (FW) [m3],01 EN15804+A2 Gefährlicher Abfall zur Beseitigung (HWD) [kg],02 EN15804+A2 Ungefährlicher Abfall zur Beseitigung (NHWD) [kg],03 EN15804+A2 radioaktiver Abfall zur Beseitigung (RWD) [kg],04 EN15804+A2 Komponenten für Wiederverwendung (CRU) [kg],05 EN15804+A2 Stoffe zum Recycling (MFR) [kg],06 EN15804+A2 Stoffe für die Energierückgewinnung (MER) [kg],07 EN15804+A2 Exportierte Energie elektrisch (EEE) [MJ],08 EN15804+A2 Exportierte Energie thermisch (EET) [MJ],01 EN15804+A2 Biogener Kohlenstoffgehalt im Produkt [kg],02 EN15804+A2 Biogener Kohlenstoffgehalt der Verpackung [kg],01 EN15804+A2 (EF 3.1) Feinstaub [Disease incidences],"02 EN15804+A2 (EF 3.1) Ionisierende Strahlung, Gesundheitliche Auswirkungen auf den Menschen [kBq U235 Äquiv.]","03 EN15804+A2 (EF 3.1) Ökotoxizität, Frischwasser [CTUe]","04 EN15804+A2 (EF 3.1) Humantoxizität, kanzerogen [CTUh]","05 EN15804+A2 (EF 3.1) Humantoxizität, nicht kanzerogen [CTUh]",06 EN15804+A2 (EF 3.1) Landnutzung [Pt]
BR: Dachziegel Sphera,0.337388481,0.333994035,-0.001637271,0.005031717,1.22E-13,0.001032973,6.16E-07,0.000413302,0.004392796,0.001159856,6.83E-09,5.135498371,0.013638812,0.60031189,0,0.60031189,5.135912436,0,5.135912436,0,0,0,0.002179393,2.03E-10,0.00167445,1.20E-05,0,0,0,0,0,0,0,1.18E-08,0.000807619,2.21772361,4.28E-10,8.35E-10,0.776724131
BR: Diesel Mix ab Tankstelle Sphera,0.588567,0.483182793,-0.285487704,0.39087191,2.00E-13,0.002435578,3.06E-05,0.00099466,0.006905263,0.001852284,1.70E-07,46.26194483,0.017152115,4.310447436,0,4.310447436,47.0906114,0,47.0906114,0,0,0,0.00430076,1.08E-10,0.006857744,3.99E-05,0,0,0,0,0,0,0,2.01E-08,0.003450345,79.63786661,1.27E-09,2.57E-08,41.12372806
"BR: Diesel Mix, ab Raffinerie Sphera",0.503799821,0.399798758,-0.285313122,0.389314186,8.82E-14,0.002183857,3.04E-05,0.000776631,0.004552503,0.001345041,1.23E-07,45.815509,0.01140945,4.078794718,0,4.078794718,45.82011818,0,45.82011818,0,0,0,0.003630712,9.54E-11,0.006223032,8.99E-06,0,0,0,0,0,0,0,1.53E-08,0.000927633,92.1503714,1.45E-09,2.78E-08,40.84407063
BR: Erdgas Mix Sphera,0.567450554,0.56750412,-0.000185274,0.000131708,2.13E-14,0.001066637,5.34E-08,0.000316014,0.003459343,0.001162166,2.17E-08,53.20574449,0.002498878,0.042771296,0,0.042771296,53.20763814,0,53.20763814,0,0,0,0.000130937,3.41E-09,0.001986968,4.14E-06,0,0,0,0,0,0,0,9.50E-09,0.000593835,1.264162337,3.16E-11,1.34E-09,0.06287111
BR: Erdöl Mix Sphera,0.22094823,0.221047969,-0.000221724,0.000121985,2.34E-14,0.000722921,6.47E-08,0.00021637,0.002343104,0.000831215,1.94E-08,45.32795247,0.001843176,0.092826634,0,0.092826634,45.32866078,0,45.32866078,0,0,0,0.000326921,-3.25E-12,0.000207497,2.91E-06,0,0,0,0,0,0,0,5.01E-09,0.000225484,92.65122253,1.39E-09,2.04E-08,0.08447869
BR: Fahrstuhl durchschnittliche Auslastung (200.000 Fahrten/a) Sphera,910.1808468,893.5260045,0.944449422,15.71039291,3.99E-09,5.298538223,0.008498886,1.099086351,8.890726908,2.257150132,0.00012029,7664.251477,307.2542716,18983.46018,0,18983.46018,7669.807675,0,7669.807675,0,0,0,70.30509668,-1.73E-06,10.9720894,0.394102355,0,0,0,0,0,0,0,5.25E-05,25.03045299,4843.36614,5.23E-07,3.67E-06,11355.64659
BR: Fahrstuhl geringe Auslastung (100.000 Fahrten/a) Sphera,540.4198778,530.5310651,0.560766845,9.328045789,2.37E-09,3.14600707,0.005046214,0.652582521,5.278869102,1.340182891,7.14E-05,4550.649315,182.4322238,11271.42948,0,11271.42948,4553.948307,0,4553.948307,0,0,0,41.74365116,-1.02E-06,6.514678083,0.233998273,0,0,0,0,0,0,0,3.11E-05,14.86183146,2875.748646,3.11E-07,2.18E-06,6742.415165
BR: Fahrstuhl hohe Auslastung (400.000 Fahrten/a) Sphera,1649.702785,1619.515883,1.711814578,28.47508715,7.23E-09,9.603600529,0.015404231,1.992094012,16.11444252,4.091084615,0.000218026,13891.4558,556.8983673,34407.52157,0,34407.52157,13901.52641,0,13901.52641,0,0,0,127.4279877,-3.13E-06,19.88691204,0.714310518,0,0,0,0,0,0,0,9.51E-05,45.36769604,8778.601129,9.48E-07,6.66E-06,20582.10945
BR: Fliesenkleber Sphera,0.297507441,0.294461006,0.002901956,0.00014448,6.70E-13,0.000315273,4.23E-07,0.000110558,0.001189737,0.000302668,6.45E-09,1.257919828,0.010399953,0.568278075,0,0.568278075,1.258338952,0,1.258338952,0,0,0,0.000540418,6.23E-11,0.031908659,3.58E-05,0,0,0,0,0,0,0,8.98E-09,0.003840056,0.532250272,2.36E-11,1.31E-09,2.679301425
BR: Folie für Gründach Sphera,2.699934496,2.73724398,-0.040937977,0.003628494,4.38E-12,0.005313554,1.18E-05,0.001853067,0.02010816,0.006989004,2.68E-06,68.62118516,0.381846086,5.057566677,0,5.057566677,69.83976385,0,69.83976385,0,0,0,0.018013265,4.58E-07,0.024504579,0.000777649,0,0,0,0,0,0,0,3.97E-08,0.068305861,25.60920674,7.95E-10,3.76E-08,8.915645671
BR: Gas Niedertemperaturgerät < 20 kW (Nutzung) Sphera,0.283599349,0.283485561,-9.23E-06,0.000123018,3.02E-14,0.000189608,6.50E-08,6.52E-05,0.00069176,0.000196648,2.72E-09,4.633189369,0.002399286,0.138632323,0,0.138632323,4.633391828,0,4.633391828,0,0,0,0.00051106,2.81E-10,0.000248991,3.16E-06,0,0,0,0,0,0,0,1.33E-09,0.000229042,0.143237778,6.95E-12,1.73E-10,0.08613666
BR: Gips (CaSO4 Alpha-Halbhydrat aus REA-Gips) Sphera,0.208030535,0.207773436,3.44E-05,0.000222715,8.97E-14,0.000623705,1.45E-07,0.000195679,0.00210171,0.000537096,3.08E-09,2.993397229,0.010950456,0.277372743,0,0.277372743,2.993568495,0,2.993568495,0,0,0,0.001368912,6.17E-11,0.000765032,7.30E-06,0,0,0,0,0,0,0,4.73E-09,0.000546988,3.034617959,8.19E-11,7.69E-10,0.171787804
BR: Gips (CaSO4 Beta Halbhydrat) Sphera,0.088425615,0.088222748,6.72E-06,0.000196149,5.23E-14,0.000235051,8.48E-08,8.30E-05,0.000883383,0.00022346,1.68E-09,1.310002928,0.005896673,0.169280791,0,0.169280791,1.310100248,0,1.310100248,0,0,0,0.000675541,4.17E-11,0.000417317,4.34E-06,0,0,0,0,0,0,0,8.60E-09,0.00032375,0.684494207,2.82E-11,2.07E-10,0.093310221
BR: Gips-Innenputz Sphera,0.105839695,0.107244434,-0.001785723,0.000380984,1.62E-13,0.000309514,2.20E-07,0.000104026,0.001085044,0.000276529,3.35E-09,1.58182783,0.010861791,0.425479953,0,0.425479953,1.582006947,0,1.582006947,0,0,0,0.001322725,3.52E-11,0.000657344,1.16E-05,0,0,0,0,0,0,0,9.82E-09,0.000950137,0.772265106,3.56E-11,3.11E-10,0.972900877
BR: Gipskationplatte Sphera,1.315967063,1.912033828,-0.599870986,0.003804221,2.80E-12,0.004715795,6.22E-06,0.001671428,0.017777982,0.004362123,4.66E-08,29.26678349,0.379784193,9.532731145,0,9.532731145,29.27586491,0,29.27586491,0,0,0,0.013271993,1.55E-09,0.515789628,0.000170994,0,0,0,0,0,0,0,9.15E-08,0.017431347,10.66310346,5.23E-10,1.20E-08,4.161630207
BR: Heizöl el ab Raffinerie Sphera,0.382592425,0.382605405,-0.000238881,0.000225902,4.90E-14,0.002009019,6.57E-07,0.000296291,0.003237653,0.001239145,2.21E-08,50.04949237,0.004881277,0.212602951,0,0.212602951,50.0503093,0,50.0503093,0,0,0,0.00079343,-3.24E-12,0.000298011,5.51E-06,0,0,0,0,0,0,0,1.27E-08,0.000395316,102.0713122,1.54E-09,2.30E-08,0.159124469
BR: Heizöl S ab Raffinerie (1.0 wt.% S) Sphera,0.33048429,0.330510297,-0.000223108,0.000197101,4.23E-14,0.001646098,5.05E-07,0.000265289,0.00289378,0.001093849,2.05E-08,46.56440489,0.004088986,0.182026165,0,0.182026165,46.56515981,0,46.56515981,0,0,0,0.000675197,-3.50E-12,0.000267162,4.79E-06,0,0,0,0,0,0,0,1.05E-08,0.000346772,95.00391965,1.43E-09,2.13E-08,0.138611426
BR: Holz-Blendrahmen - offene Inputs Isolierglas und Metallbeschlag Sphera <p-agg>,-0.942167031,2.867932713,-3.834897713,0.024797969,1.72E-11,0.015940996,3.19E-06,0.005227161,0.058031899,0.028863493,8.58E-06,36.82248111,0.381813418,89.10950145,0,89.10950145,36.83927855,0,36.83927855,0,0,0,0.076143364,4.66E-08,0.517837095,0.00143853,0,0,0,0,0,0,0,8.75E-07,0.180282887,24.70318515,2.83E-09,2.05E-07,1602.275268
BR: Kalk (CaO Feinkalk) 1kg Sphera,1.475305128,1.474314607,-0.000523866,0.001514388,7.13E-14,0.000533835,2.13E-07,0.000224577,0.002427016,0.000594968,5.09E-09,7.218576519,0.003888815,0.181892571,0,0.181892571,7.223317702,0,7.223317702,0,0,0,0.000602601,2.79E-10,0.001525265,5.90E-06,0,0,0,0,0,0,0,1.85E-08,0.000513782,0.797384456,1.36E-10,1.43E-08,0.262220201
BR: Kalk (CaO; Branntkalk stückig) Sphera,1.467277637,1.466862415,-0.000236342,0.000651564,7.11E-14,0.000462632,1.45E-07,0.000188053,0.002035297,0.000529323,4.82E-09,7.117037194,0.003863528,0.172852879,0,0.172852879,7.121768162,0,7.121768162,0,0,0,0.000594554,2.79E-10,0.001511473,5.88E-06,0,0,0,0,0,0,0,1.80E-08,0.000511726,0.593132954,1.32E-10,1.42E-08,0.171698902
BR: Kalk Gips Innenputz Sphera,0.196878668,0.194764553,0.001990106,0.000124008,6.51E-13,0.000247773,3.74E-07,0.000109762,0.001193714,0.000251854,6.71E-09,1.905698309,0.007154371,0.383357937,0,0.383357937,1.906237895,0,1.906237895,0,0,0,0.000337825,7.23E-11,0.006443688,3.32E-05,0,0,0,0,0,0,0,7.51E-09,0.003506558,0.77823703,3.30E-11,1.84E-09,0.994063695
BR: Kalziumhydroxid (Ca(OH)2; trocken; gelöschter Kalk) Sphera,1.123856204,1.123014247,-0.000522433,0.00136439,5.78E-14,0.000410522,1.85E-07,0.000171571,0.001849639,0.00045501,4.04E-09,5.517135369,0.019542707,0.157138776,0,0.157138776,5.520746135,0,5.520746135,0,0,0,0.000899294,2.11E-10,0.001172067,4.83E-06,0,0,0,0,0,0,0,1.39E-08,0.000413649,0.657912778,1.04E-10,1.08E-08,0.238652706
BR: Kerosoin / Jet A1 ab Raffinerie Sphera,0.332351203,0.332422825,-0.00024141,0.000169788,3.48E-14,0.001579552,4.42E-07,0.000273841,0.002989115,0.001121063,2.16E-08,49.83948494,0.003419325,0.14507387,0,0.14507387,49.84027822,0,49.84027822,0,0,0,0.000534888,-6.99E-13,0.000256491,4.10E-06,0,0,0,0,0,0,0,1.01E-08,0.000305423,101.7383638,1.53E-09,2.27E-08,0.118609233
BR: Kies 2-32mm Sphera,0.002179818,0.002080356,-6.01E-05,0.000159517,2.83E-15,1.14E-05,1.67E-08,4.36E-06,4.47E-05,9.19E-06,1.22E-10,0.026080446,0.0001928,0.011722417,0,0.011722417,0.026089725,0,0.026089725,0,0,0,3.75E-05,-7.29E-13,0.020830401,2.48E-07,0,0,0,0,0,0,0,5.14E-10,1.84E-05,0.04102762,1.41E-12,7.66E-11,0.020844489
BR: Klinker Sphera,0.238244459,0.23708715,-0.000458968,0.001616278,7.23E-14,0.001358587,2.65E-07,0.00023535,0.002511502,0.000748757,4.03E-09,3.654819189,0.010069461,0.350050865,0,0.350050865,3.655109371,0,3.655109371,0,0,0,0.001354613,1.57E-10,0.001338865,7.24E-06,0,0,0,0,0,0,0,1.08E-08,0.000484492,1.361908229,7.76E-11,5.38E-10,0.351170416
BR: Kupferblech Sphera,4.499046508,4.507638064,-0.023646107,0.015054551,1.64E-11,0.073345855,7.92E-06,0.004383648,0.045722692,0.01506822,0.003240233,48.12904256,2.717629307,13.61943268,0,13.61943268,48.15111032,0,48.15111032,0,0,0,0.049990416,1.22E-09,1.731733443,0.000102262,0,0,0,0,0,0,0,5.96E-07,0.011531827,34.53462325,3.18E-09,2.68E-07,49.24619712
BR: Mineralischer Putz Sphera,0.206602347,0.207650872,-0.001250394,0.000201869,4.90E-13,0.000287317,1.13E-06,0.00011224,0.001256594,0.000226441,3.95E-07,1.153303296,0.009838792,0.415670209,0,0.415670209,1.153996451,0,1.153996451,0,0,0,0.000597705,-4.55E-13,0.007148932,2.61E-05,0,0,0,0,0,0,0,9.69E-09,0.002711178,0.488579538,3.63E-11,3.78E-09,1.312184922
BR: Mülldeponie (Hausmüll) Sphera,0.801885921,0.080313033,0.721391508,0.00018138,-3.04E-14,0.000169435,1.95E-05,0.00019696,0.000893633,0.000499478,-1.48E-09,0.496094291,-0.004270678,-0.35738155,0,-0.35738155,0.497432028,0,0.497432028,0,0,0,-0.001433504,6.52E-11,0.827288959,-5.34E-06,0,0,0,0,0,0,0,1.57E-09,-0.000216468,0.774164916,3.23E-11,3.52E-09,-0.150531032
BR: Naphtha ab Raffinerie Sphera,0.418399756,0.418407257,-0.000238808,0.000231307,5.04E-14,0.002322984,8.02E-07,0.000310449,0.00340225,0.001322488,2.22E-08,50.11379996,0.005266116,0.219018547,0,0.219018547,50.11462057,0,50.11462057,0,0,0,0.000823666,-1.08E-12,0.000303354,5.64E-06,0,0,0,0,0,0,0,1.45E-08,0.000404249,102.1548893,1.54E-09,2.31E-08,0.163004273
"BR: Natursteinplatte, hart, Außenbereich Sphera",23.36359732,20.46629519,0.594491551,2.302810581,2.49E-12,0.127119423,0.00018367,0.063204051,0.669216692,0.120405333,7.56E-07,276.8145868,0.167676292,27.70819675,0,27.70819675,276.8447846,0,276.8447846,0,0,0,0.032617297,5.12E-10,37.11706982,0.000179904,0,0,0,0,0,0,0,4.74E-07,0.016568259,548.0745444,9.27E-09,2.32E-07,244.0170516
"BR: Natursteinplatte, hart, Fassade Sphera",21.45139427,20.21737685,0.154487556,1.079529857,5.72E-11,0.122146756,0.000188262,0.039108785,0.375324756,0.076683695,1.98E-06,211.0355284,4.398025639,278.3427591,0,278.3427591,211.1251096,0,211.1251096,0,0,0,1.004898374,-2.42E-08,11.78943156,0.005628175,0,0,0,0,0,0,0,9.15E-07,0.359195794,272.3580357,1.08E-08,1.34E-07,251.1814701
"BR: Natursteinplatte, hart, Innenboden Sphera",18.60055151,17.69919708,0.107453208,0.793901219,5.69E-11,0.106461044,0.000165656,0.03126452,0.292215591,0.061785061,1.89E-06,176.8956673,4.383461858,275.2381969,0,275.2381969,176.9816351,0,176.9816351,0,0,0,1.00204794,-2.43E-08,7.911452317,0.005613825,0,0,0,0,0,0,0,8.58E-07,0.357705734,204.4517006,9.67E-09,1.07E-07,221.0974856
"BR: Natursteinplatte, weich, Fassade Sphera",17.171596,15.73539484,0.194122792,1.242078371,2.61E-11,0.096322065,0.000144286,0.038342464,0.388781189,0.07389911,1.13E-06,185.1312497,2.005463492,132.7249652,0,132.7249652,185.1809153,0,185.1809153,0,0,0,0.456956723,-1.06E-08,15.58145202,0.002555004,0,0,0,0,0,0,0,5.61E-07,0.164589468,302.3199278,7.84E-09,1.33E-07,192.3017726
"BR: Natursteinplatte, weich, Innenboden Sphera",11.17743817,10.69678677,-0.186518775,0.667170183,2.57E-11,0.064889222,9.84E-05,0.02261778,0.222225984,0.043923293,9.47E-07,116.8857793,1.976665057,126.5048731,0,126.5048731,116.929466,0,116.929466,0,0,0,0.451238576,-1.08E-08,7.886267998,0.002528248,0,0,0,0,0,0,0,4.47E-07,0.161975177,165.8100767,5.57E-09,7.76E-08,131.8703613
BR: Normalmörtel Sphera,0.08640112,0.086172112,0.000114816,0.000114192,1.66E-13,0.000124341,7.24E-08,4.60E-05,0.000507834,0.000108972,1.11E-07,0.377550985,0.006565199,0.095602888,0,0.095602888,0.377786864,0,0.377786864,0,0,0,0.000227287,-8.33E-12,0.04316203,9.62E-06,0,0,0,0,0,0,0,2.55E-09,0.001103984,0.253504452,7.55E-12,4.75E-10,0.109189406
BR: Nutzung Klimagerät > 12 kW (SEER 4.7) Sphera,0.065724259,0.064606062,6.35E-05,0.001054675,2.68E-13,0.000355762,5.71E-07,7.38E-05,0.000596943,0.000151552,9.40E-09,0.514794397,0.020627433,1.274460157,0,1.274460157,0.515167464,0,0.515167464,0,0,0,0.004719845,-1.16E-10,0.000736764,2.65E-05,0,0,0,0,0,0,0,3.52E-09,0.001681024,0.325241645,3.51E-11,2.47E-10,0.762371559
BR: Nutzung Solaranlage Flachkollektor (große Anlage > 500m2) Sphera,5.829451845,5.722782273,0.006048932,0.10062064,2.55E-11,0.033935644,5.44E-05,0.007039338,0.056942601,0.014456411,7.70E-07,49.08737101,1.967877029,6961.583713,0,6961.583713,49.12295689,0,49.12295689,0,0,0,0.450284333,-1.10E-08,0.070273141,0.002524115,0,0,0,0,0,0,0,3.36E-07,0.160312998,31.02039532,3.35E-09,2.35E-08,72.72971653
BR: Petrolkoks ab Raffinerie Sphera,0.399548865,0.3994545,-0.000153197,0.000247562,5.73E-14,0.002599677,1.05E-06,0.00025756,0.00283839,0.001161383,1.55E-08,33.41581003,0.00625438,0.258729201,0,0.258729201,33.41639234,0,33.41639234,0,0,0,0.000987875,-2.02E-12,0.000271927,6.11E-06,0,0,0,0,0,0,0,1.59E-08,0.000419125,67.90730879,1.03E-09,1.58E-08,0.176078945
BR: Portlandzement Sphera,0.843616703,0.841564123,0.000458182,0.001594397,1.48E-13,0.001753716,4.48E-07,0.000628816,0.006767486,0.001702609,7.01E-09,2.829395658,0.015458545,0.697575913,0,0.697575913,2.829757258,0,2.829757258,0,0,0,0.002646822,-5.61E-11,0.002997537,1.46E-05,0,0,0,0,0,0,0,1.88E-08,0.000959948,4.788455538,1.33E-10,6.28E-09,0.515211096
BR: Propan ab Raffinerie Sphera,0.44047487,0.440511561,-0.000263736,0.000227045,4.85E-14,0.002388665,7.96E-07,0.000332262,0.003641553,0.001407862,2.42E-08,54.98736119,0.005118649,0.207991489,0,0.207991489,54.98825191,0,54.98825191,0,0,0,0.00078088,4.23E-13,0.000313522,5.52E-06,0,0,0,0,0,0,0,1.50E-08,0.000400805,112.1294285,1.69E-09,2.53E-08,0.15952616
BR: Propylen ab Raffinerie Sphera,0.49766409,0.49764266,-0.000241339,0.000262769,5.82E-14,0.002994215,1.11E-06,0.00034484,0.003794641,0.001512536,2.28E-08,51.02801206,0.006452543,0.255864352,0,0.255864352,51.02885877,0,51.02885877,0,0,0,0.000973303,1.35E-12,0.000330671,6.43E-06,0,0,0,0,0,0,0,1.85E-08,0.000455571,103.9115263,1.57E-09,2.37E-08,0.185625283
BR: Prozessdampf aus Biomasse (fest) 85 % Sphera,0.012363646,0.007407592,-0.000293656,0.00524971,6.04E-15,0.000345023,2.59E-06,0.000193594,0.001073569,0.000226024,1.04E-08,0.073307778,0.006236742,1.269577121,0,1.269577121,0.074771872,0,0.074771872,0,0,0,0.00023677,5.16E-12,0.002229469,8.60E-07,0,0,0,0,0,0,0,4.47E-09,9.52E-05,0.088007874,3.08E-11,7.86E-10,3.491401862
BR: Prozessdampf aus Biomasse (fest) 90 % Sphera,0.011688087,0.007006433,-0.000277378,0.004959032,5.77E-15,0.000325937,2.44E-06,0.000182879,0.001014178,0.000213525,9.80E-09,0.069327214,0.005891703,1.199308946,0,1.199308946,0.070710334,0,0.070710334,0,0,0,0.000223689,4.88E-12,0.002150079,8.15E-07,0,0,0,0,0,0,0,4.22E-09,9.02E-05,0.083160812,2.91E-11,7.43E-10,3.298102523
BR: Prozessdampf aus Biomasse (fest) 95 % Sphera,0.011083415,0.006647368,-0.000262808,0.004698856,5.53E-15,0.000308853,2.32E-06,0.000173289,0.000961019,0.000202337,9.28E-09,0.065764337,0.00558287,1.136414133,0,1.136414133,0.067074981,0,0.067074981,0,0,0,0.000211981,4.63E-12,0.002079019,7.76E-07,0,0,0,0,0,0,0,4.00E-09,8.58E-05,0.07882236,2.75E-11,7.04E-10,3.125086422
BR: Prozessdampf aus Braunkohle 85 % Sphera,0.123589575,0.123616713,-3.89E-05,1.18E-05,4.55E-15,0.001886847,2.82E-09,0.000145036,0.001586777,0.0004782,2.77E-10,1.219715077,0.000254511,0.006774451,0,0.006774451,1.219720204,0,1.219720204,0,0,0,0.000140468,1.69E-12,0.000658505,7.22E-08,0,0,0,0,0,0,0,2.02E-08,9.39E-06,5.618420767,1.50E-11,6.29E-10,0.058434427
BR: Prozessdampf aus Braunkohle 90 % Sphera,0.116860428,0.116886062,-3.68E-05,1.12E-05,4.37E-15,0.001784007,2.69E-09,0.000137134,0.001500328,0.000452147,2.64E-10,1.153305463,0.000240839,0.006437439,0,0.006437439,1.153310416,0,1.153310416,0,0,0,0.000132841,1.61E-12,0.000658049,7.18E-08,0,0,0,0,0,0,0,1.91E-08,9.23E-06,5.312169324,1.42E-11,5.95E-10,0.055273399
BR: Prozessdampf aus Braunkohle 95 % Sphera,0.110827008,0.110851292,-3.49E-05,1.06E-05,4.21E-15,0.0016918,2.57E-09,0.00013005,0.001422818,0.000428789,2.52E-10,1.093761928,0.000228581,0.00613527,0,0.00613527,1.093766725,0,1.093766725,0,0,0,0.000126002,1.53E-12,0.000657639,7.15E-08,0,0,0,0,0,0,0,1.81E-08,9.09E-06,5.037581165,1.34E-11,5.64E-10,0.05243919
BR: Prozessdampf aus Erdgas 85 % Sphera,0.079832925,0.079834112,-4.46E-06,3.28E-06,8.46E-16,0.000146987,1.41E-09,7.07E-05,0.00077385,0.000194988,5.46E-10,1.318193285,6.29E-05,0.001210994,0,0.001210994,1.318240669,0,1.318240669,0,0,0,3.39E-06,8.46E-11,0.000183695,1.19E-07,0,0,0,0,0,0,0,9.78E-10,1.63E-05,0.031664612,1.73E-11,3.45E-11,0.001671443
BR: Prozessdampf aus Erdgas 90 % Sphera,0.075399901,0.075401014,-4.21E-06,3.10E-06,8.16E-16,0.000138826,1.33E-09,6.67E-05,0.000730871,0.000184159,5.16E-10,1.244981008,5.94E-05,0.001152024,0,0.001152024,1.245025787,0,1.245025787,0,0,0,3.20E-06,7.99E-11,0.000180961,1.14E-07,0,0,0,0,0,0,0,9.24E-10,1.55E-05,0.029911895,1.63E-11,3.27E-11,0.001584854
BR: Prozessdampf aus Erdgas 95 % Sphera,0.071433511,0.071434558,-3.98E-06,2.93E-06,7.90E-16,0.000131523,1.27E-09,6.32E-05,0.000692417,0.00017447,4.89E-10,1.179475287,5.63E-05,0.001099262,0,0.001099262,1.179517734,0,1.179517734,0,0,0,3.04E-06,7.57E-11,0.000178514,1.08E-07,0,0,0,0,0,0,0,8.75E-10,1.48E-05,0.028343675,1.55E-11,3.10E-11,0.00150738
BR: Prozessdampf aus Leichtöl (HFO) 85 % Sphera,0.100534107,0.100534264,-6.38E-06,6.23E-06,1.71E-15,0.000371389,1.82E-08,9.85E-05,0.001079993,0.000279233,6.18E-10,1.376782451,0.000489956,0.006015256,0,0.006015256,1.376805413,0,1.376805413,0,0,0,3.02E-05,3.79E-14,0.000142779,1.70E-07,0,0,0,0,0,0,0,2.76E-09,1.27E-05,2.805480825,5.41E-11,6.33E-10,0.004501777
BR: Prozessdampf aus Leichtöl (HFO) 90 % Sphera,0.094951017,0.094951158,-6.02E-06,5.88E-06,1.63E-15,0.00035076,1.72E-08,9.30E-05,0.001020006,0.000263724,5.84E-10,1.300315221,0.00046279,0.005689383,0,0.005689383,1.300336934,0,1.300336934,0,0,0,2.86E-05,3.77E-14,0.000142317,1.62E-07,0,0,0,0,0,0,0,2.61E-09,1.21E-05,2.649627208,5.11E-11,5.97E-10,0.004257947
BR: Prozessdampf aus Leichtöl (HFO) 95 % Sphera,0.089955621,0.089955748,-5.70E-06,5.57E-06,1.56E-15,0.000332304,1.63E-08,8.82E-05,0.000966334,0.000249848,5.54E-10,1.231897173,0.000438483,0.005397813,0,0.005397813,1.231917768,0,1.231917768,0,0,0,2.71E-05,3.76E-14,0.000141904,1.54E-07,0,0,0,0,0,0,0,2.47E-09,1.16E-05,2.510179235,4.84E-11,5.66E-10,0.004039784
BR: Prozessdampf aus Schweröl (HFO) 85 % Sphera,0.099567704,0.09956821,-6.22E-06,5.72E-06,1.58E-15,0.002903429,1.48E-08,9.92E-05,0.001087515,0.000436903,5.99E-10,1.338848359,0.000604263,0.005447713,0,0.005447713,1.338870568,0,1.338870568,0,0,0,3.10E-05,2.27E-14,0.000142291,1.57E-07,0,0,0,0,0,0,0,2.29E-08,1.19E-05,2.749027702,7.96E-11,8.86E-10,0.004138138
BR: Prozessdampf aus Schweröl (HFO) 90 % Sphera,0.094038303,0.094038774,-5.87E-06,5.40E-06,1.51E-15,0.002742132,1.40E-08,9.37E-05,0.001027111,0.000412634,5.66E-10,1.264488578,0.000570746,0.00515337,0,0.00515337,1.26450958,0,1.26450958,0,0,0,2.93E-05,2.34E-14,0.000141856,1.50E-07,0,0,0,0,0,0,0,2.16E-08,1.13E-05,2.596310369,7.52E-11,8.37E-10,0.00391451
