Materials
2018test
Abfall <u-so>
Abfall NORTEC <u-so>
Abwasser <u-so>
Abwasser <u-so>
Abwasser NORTEC <u-so>
Alpha_suspension <u-so>
Alpha-Halbhydrat <p-agg>
Altpapier-Input <u-so>
Asien: Betonstahl worldsteel
Asien: Elektrolytisch verzinkter Stahl worldsteel
Asien: Stahl Weissblech worldsteel
"Asien: Stahl, Baustahl worldsteel"
"Asien: Stahl, feuerverzinkt worldsteel"
"Asien: Stahl, organisch beschichtet worldsteel"
"Asien: Stahl-Coil, gebeizt, warmgewalzt worldsteel"
"Asien: Stahl-Coil, kaltgewalzt (finished) worldsteel"
"Asien: Stahl-Coil, kaltgewalzt worldsteel"
"Asien: Stahl-Coil, warmgewalzt worldsteel"
Asien: Stahlplatte worldsteel
Asien: Stahlprofile worldsteel
Asien: Walzdraht worldsteel
AT: 2011_112 Kaindl Spanplatte + CPL Laminat ts-EPD
AT: 2011_112 Kaindl Spanplatte + Melaminbeschichtung ts-EPD
AT: 2011_112 Kaindl: EoL Spanplatte (unspezifisch) ts-EPD
AT: 2011_112 Kaindl: Spanplatte - unbehandelt ts-EPD
AT: 2011_112_Kaindl Spanplatte + Furnierbeschichtung ts-EPD
AT: Aluminiumschrott anod. Aluminiumprofil (mechanisch bearb.) - Hydro Aluminium Nenzing (D aus A5) ts-EPD
AT: Aluminiumschrott anodisiertes Aluminiumprofil - Hydro Aluminium Nenzing (D aus A5) ts-EPD
AT: Aluminiumschrott anodisiertes Aluminiumprofil (wärmeisoliert) - Hydro Aluminium Nenzing (D aus A5) ts-EPD
AT: Aluminiumschrott beschichtetes Aluminiumprofil  (mech. bearb.) - Hydro Aluminium Nenzing (D aus A5) ts-EPD
AT: Aluminiumschrott beschichtetes Aluminiumprofil (wärmeisoliert) - Hydro Aluminium Nenzing (D aus A5) ts-EPD
AT: Aluminiumschrott pressblankes Aluminiumprofil - Hydro Aluminium Nenzing (D aus A5) ts-EPD
AT: Aluminiumschrott pressblankes Aluminiumprofil (mech. bearb.) - Hydro Aluminium Nenzing (D aus A5) ts-EPD
AT: Aluminiumschrott pressblankes Aluminiumprofil (wärmeisoliert) - Hydro Aluminium Nenzing (D aus A5) ts-EPD
AT: Aluminiumschrott pulverbeschichtetes Aluminiumprofil - Hydro Aluminium Nenzing (D aus A5) ts-EPD
AT: Anodisiertes Aluminiumprofil  - Hydro Aluminium Nenzing (A1-A3) ts-EPD
AT: Anodisiertes Aluminiumprofil (mechanisch bearbeitet) - Hydro Aluminium Nenzing (A1-A3) ts-EPD
AT: Anodisiertes Aluminiumprofil (wärmeisoliert) - Hydro Aluminium Nenzing (A1-A3) ts-EPD
AT: Biofaserplatte - Fundermax (A1-A3) ts-EPD
AT: Biofaserplatte - Fundermax (D) ts-EPD
AT: Dachziegel - Initiative Ziegel (A1-A3) Sphera-EPD
AT: Dekorativer Hochdrucklaminat - Fundermax (A1-A3) ts-EPD
AT: Dekorativer Hochdrucklaminat - Fundermax (C4) ts-EPD
AT: Dekorativer Hochdrucklaminat - Fundermax (D) ts-EPD
AT: Durchlauferhitzer (Nutzung) Sphera
AT: Elektrische Wärmepumpe Sole-Wasser (0/35) (Nutzung) Sphera
AT: Elektrische Wärmepumpe Sole-Wasser (0/50) Sphera
AT: Elektrische Wärmepumpe Sole-Wasser (5/55) (Nutzung) Sphera
AT: Elektrische Wärmepumpe Wasser-Wasser (10/35) (Nutzung) Sphera
AT: Elektrische Wärmepumpe Wasser-Wasser (10/50) (Nutzung) Sphera
AT: Elektrische Wärmepumpe Wasser-Wasser (7/55) (Nutzung) Sphera
AT: Erdgas Mix Sphera
AT: Erdöl Mix Sphera
AT: Fahrstuhl durchschnittliche Auslastung (200.000 Fahrten/a) Sphera
AT: Fahrstuhl geringe Auslastung (100.000 Fahrten/a) Sphera
AT: Fahrstuhl hohe Auslastung (400.000 Fahrten/a) Sphera
AT: Flachkollektor (große Anlage > 500m2) Sphera
AT: Gas Brennwertgerät < 20 kW (Nutzung) Sphera
AT: Gas Brennwertgerät 120-400 kW (Nutzung) Sphera
AT: Gas Brennwertgerät 20-120 kW (Nutzung) Sphera
AT: Gas Niedertemperatur < 20 kW (Nutzung) Sphera
AT: Gas Niedertemperatur 120-400 kW (Nutzung) Sphera
AT: Gas Niedertemperatur 20-120 kW (Nutzung) Sphera
AT: Gas Wärmepumpe Luft (20 kW) 0°C (Nutzung) Sphera
AT: Gas Wärmepumpe Luft (20 kW) 7°C (Nutzung) Sphera
AT: Gas Wärmepumpe Luft (70 kW) 0°C (Nutzung) Sphera
AT: Gas Wärmepumpe Luft (70 kW) 7°C (Nutzung) Sphera
AT: Geschlossene Kompostierung (fertiger Kompost) BOKU/Sphera
AT: Geschlossene Kompostierung (inkl. Kompostanwendung und Gutschrift) BOKU/Sphera
AT: Geschlossene Kompostierung (inkl. Kompostanwendung) BOKU/Sphera
AT: Glasfaserverstärkte Betonpaneele - Rieder (A1-A3) ts-EPD
AT: Hackschnitzelkessel < 20 kW (EN15804 B6) Sphera
AT: Hackschnitzelkessel 120-400 kW (EN15804 B6) Sphera
AT: Hackschnitzelkessel 20-120 kW (EN15804 B6) Sphera
AT: Heradesign Akustikplatte - Knauf AMF (A1-A3) Sphera-EPD <p-agg>
AT: Heradesign Akustikplatte - Knauf AMF (C4) Sphera-EPD
